sip_id,investor_id,amfi_code,sip_amount,start_date,end_date,status
SIP151,INV03144,129,1000,2022-01-01,2025-12-31,Active
SIP152,INV00243,128,1000,2022-01-01,2025-12-31,Active
SIP153,INV01454,129,500,2022-01-01,2025-12-31,Active
SIP154,INV04727,121,1000,2022-01-01,2025-12-31,Active
SIP155,INV00569,105,500,2022-01-01,2025-12-31,Active
SIP156,INV02449,115,10000,2022-01-01,2025-12-31,Active
SIP157,INV01641,102,1000,2022-01-01,2025-12-31,Active
SIP158,INV03361,113,5000,2022-01-01,2025-12-31,Active
SIP159,INV04650,114,5000,2022-01-01,2025-12-31,Active
SIP160,INV03714,139,1000,2022-01-01,2025-12-31,Active
SIP161,INV04644,118,10000,2022-01-01,2025-12-31,Active
SIP162,INV04679,119,5000,2022-01-01,2025-12-31,Active
SIP163,INV00858,139,1000,2022-01-01,2025-12-31,Active
SIP164,INV01712,115,500,2022-01-01,2025-12-31,Active
SIP165,INV00538,102,1000,2022-01-01,2025-12-31,Active
SIP166,INV04584,115,500,2022-01-01,2025-12-31,Active
SIP167,INV00594,115,500,2022-01-01,2025-12-31,Active
SIP168,INV03463,105,500,2022-01-01,2025-12-31,Active
SIP169,INV00550,109,500,2022-01-01,2025-12-31,Active
SIP170,INV01237,134,10000,2022-01-01,2025-12-31,Active
SIP171,INV00930,101,1000,2022-01-01,2025-12-31,Active
SIP172,INV00586,127,500,2022-01-01,2025-12-31,Active
SIP173,INV01159,122,500,2022-01-01,2025-12-31,Active
SIP174,INV03320,127,500,2022-01-01,2025-12-31,Active
SIP175,INV02126,117,500,2022-01-01,2025-12-31,Active
SIP176,INV01777,105,10000,2022-01-01,2025-12-31,Active
SIP177,INV04397,127,500,2022-01-01,2025-12-31,Active
SIP178,INV00999,118,500,2022-01-01,2025-12-31,Active
SIP179,INV01437,138,500,2022-01-01,2025-12-31,Active
SIP180,INV02579,122,10000,2022-01-01,2025-12-31,Active
SIP181,INV04691,115,5000,2022-01-01,2025-12-31,Active
SIP182,INV01472,134,10000,2022-01-01,2025-12-31,Active
SIP183,INV01277,130,5000,2022-01-01,2025-12-31,Active
SIP184,INV04190,118,5000,2022-01-01,2025-12-31,Active
SIP185,INV00824,108,5000,2022-01-01,2025-12-31,Active
SIP186,INV03004,122,5000,2022-01-01,2025-12-31,Active
SIP187,INV01036,110,1000,2022-01-01,2025-12-31,Active
SIP188,INV02538,100,1000,2022-01-01,2025-12-31,Active
SIP189,INV02428,103,500,2022-01-01,2025-12-31,Active
SIP190,INV01645,112,10000,2022-01-01,2025-12-31,Active
SIP191,INV00761,122,10000,2022-01-01,2025-12-31,Active
SIP192,INV04560,139,10000,2022-01-01,2025-12-31,Active
SIP193,INV02293,117,500,2022-01-01,2025-12-31,Active
SIP194,INV03088,125,10000,2022-01-01,2025-12-31,Active
SIP195,INV04909,136,1000,2022-01-01,2025-12-31,Active
SIP196,INV01864,124,1000,2022-01-01,2025-12-31,Active
SIP197,INV02933,134,500,2022-01-01,2025-12-31,Active
SIP198,INV00574,114,1000,2022-01-01,2025-12-31,Active
SIP199,INV03944,133,1000,2022-01-01,2025-12-31,Active
SIP200,INV02675,111,5000,2022-01-01,2025-12-31,Active
SIP201,INV02156,130,1000,2022-01-01,2025-12-31,Active
SIP202,INV01979,123,10000,2022-01-01,2025-12-31,Active
SIP203,INV00805,105,1000,2022-01-01,2025-12-31,Active
SIP204,INV03953,129,10000,2022-01-01,2025-12-31,Active
SIP205,INV04705,137,5000,2022-01-01,2025-12-31,Active
SIP206,INV01177,139,1000,2022-01-01,2025-12-31,Active
SIP207,INV03227,120,10000,2022-01-01,2025-12-31,Active
SIP208,INV03317,132,5000,2022-01-01,2025-12-31,Active
SIP209,INV04205,116,500,2022-01-01,2025-12-31,Active
SIP210,INV00821,125,10000,2022-01-01,2025-12-31,Active
SIP211,INV00884,131,5000,2022-01-01,2025-12-31,Active
SIP212,INV01183,135,1000,2022-01-01,2025-12-31,Active
SIP213,INV04760,118,5000,2022-01-01,2025-12-31,Active
SIP214,INV03441,131,10000,2022-01-01,2025-12-31,Active
SIP215,INV04562,122,1000,2022-01-01,2025-12-31,Active
SIP216,INV01561,138,10000,2022-01-01,2025-12-31,Active
SIP217,INV02279,122,5000,2022-01-01,2025-12-31,Active
SIP218,INV03889,132,5000,2022-01-01,2025-12-31,Active
SIP219,INV02697,131,5000,2022-01-01,2025-12-31,Active
SIP220,INV01473,116,5000,2022-01-01,2025-12-31,Active
SIP221,INV04830,114,500,2022-01-01,2025-12-31,Active
SIP222,INV02430,107,10000,2022-01-01,2025-12-31,Active
SIP223,INV03818,130,5000,2022-01-01,2025-12-31,Active
SIP224,INV02948,102,10000,2022-01-01,2025-12-31,Active
SIP225,INV02320,128,5000,2022-01-01,2025-12-31,Active
SIP226,INV01123,107,1000,2022-01-01,2025-12-31,Active
SIP227,INV01267,117,5000,2022-01-01,2025-12-31,Active
SIP228,INV01664,111,5000,2022-01-01,2025-12-31,Active
SIP229,INV04538,129,5000,2022-01-01,2025-12-31,Active
SIP230,INV02397,120,500,2022-01-01,2025-12-31,Active
SIP231,INV02926,121,5000,2022-01-01,2025-12-31,Active
SIP232,INV00871,131,10000,2022-01-01,2025-12-31,Active
SIP233,INV02187,112,5000,2022-01-01,2025-12-31,Active
SIP234,INV00178,101,5000,2022-01-01,2025-12-31,Active
SIP235,INV02188,137,500,2022-01-01,2025-12-31,Active
SIP236,INV00614,103,1000,2022-01-01,2025-12-31,Active
SIP237,INV02508,135,500,2022-01-01,2025-12-31,Active
SIP238,INV04340,106,1000,2022-01-01,2025-12-31,Active
SIP239,INV04703,114,1000,2022-01-01,2025-12-31,Active
SIP240,INV02876,122,500,2022-01-01,2025-12-31,Active
SIP241,INV02245,100,500,2022-01-01,2025-12-31,Active
SIP242,INV02657,106,500,2022-01-01,2025-12-31,Active
SIP243,INV02706,118,500,2022-01-01,2025-12-31,Active
SIP244,INV04106,138,500,2022-01-01,2025-12-31,Active
SIP245,INV01971,104,1000,2022-01-01,2025-12-31,Active
SIP246,INV02384,138,10000,2022-01-01,2025-12-31,Active
SIP247,INV04436,135,5000,2022-01-01,2025-12-31,Active
SIP248,INV02637,109,5000,2022-01-01,2025-12-31,Active
SIP249,INV04987,116,10000,2022-01-01,2025-12-31,Active
SIP250,INV00865,131,10000,2022-01-01,2025-12-31,Active
SIP251,INV00525,128,10000,2022-01-01,2025-12-31,Active
SIP252,INV01522,112,1000,2022-01-01,2025-12-31,Active
SIP253,INV04270,125,5000,2022-01-01,2025-12-31,Active
SIP254,INV03968,137,1000,2022-01-01,2025-12-31,Active
SIP255,INV04415,132,10000,2022-01-01,2025-12-31,Active
SIP256,INV01685,132,500,2022-01-01,2025-12-31,Active
SIP257,INV00803,114,5000,2022-01-01,2025-12-31,Active
SIP258,INV03623,103,500,2022-01-01,2025-12-31,Active
SIP259,INV00862,139,5000,2022-01-01,2025-12-31,Active
SIP260,INV04624,130,5000,2022-01-01,2025-12-31,Active
SIP261,INV01765,118,10000,2022-01-01,2025-12-31,Active
SIP262,INV01044,136,5000,2022-01-01,2025-12-31,Active
SIP263,INV03649,133,10000,2022-01-01,2025-12-31,Active
SIP264,INV00734,137,5000,2022-01-01,2025-12-31,Active
SIP265,INV03592,115,10000,2022-01-01,2025-12-31,Active
SIP266,INV00693,115,1000,2022-01-01,2025-12-31,Active
SIP267,INV02765,118,10000,2022-01-01,2025-12-31,Active
SIP268,INV04295,105,5000,2022-01-01,2025-12-31,Active
SIP269,INV02132,115,1000,2022-01-01,2025-12-31,Active
SIP270,INV01514,113,1000,2022-01-01,2025-12-31,Active
SIP271,INV02022,138,10000,2022-01-01,2025-12-31,Active
SIP272,INV03709,125,10000,2022-01-01,2025-12-31,Active
SIP273,INV01576,128,5000,2022-01-01,2025-12-31,Active
SIP274,INV02018,124,500,2022-01-01,2025-12-31,Active
SIP275,INV03056,101,1000,2022-01-01,2025-12-31,Active
SIP276,INV01986,111,5000,2022-01-01,2025-12-31,Active
SIP277,INV02542,117,10000,2022-01-01,2025-12-31,Active
SIP278,INV03140,123,500,2022-01-01,2025-12-31,Active
SIP279,INV01831,104,500,2022-01-01,2025-12-31,Active
SIP280,INV02860,113,1000,2022-01-01,2025-12-31,Active
SIP281,INV00639,119,10000,2022-01-01,2025-12-31,Active
SIP282,INV02902,107,5000,2022-01-01,2025-12-31,Active
SIP283,INV02333,134,10000,2022-01-01,2025-12-31,Active
SIP284,INV02854,123,10000,2022-01-01,2025-12-31,Active
SIP285,INV02320,125,1000,2022-01-01,2025-12-31,Active
SIP286,INV03872,104,10000,2022-01-01,2025-12-31,Active
SIP287,INV02216,121,10000,2022-01-01,2025-12-31,Active
SIP288,INV03760,117,5000,2022-01-01,2025-12-31,Active
SIP289,INV00037,115,500,2022-01-01,2025-12-31,Active
SIP290,INV02259,117,500,2022-01-01,2025-12-31,Active
SIP291,INV02639,115,10000,2022-01-01,2025-12-31,Active
SIP292,INV04915,123,1000,2022-01-01,2025-12-31,Active
SIP293,INV01851,119,5000,2022-01-01,2025-12-31,Active
SIP294,INV02311,115,1000,2022-01-01,2025-12-31,Active
SIP295,INV03425,136,10000,2022-01-01,2025-12-31,Active
SIP296,INV02250,138,1000,2022-01-01,2025-12-31,Active
SIP297,INV04739,113,500,2022-01-01,2025-12-31,Active
SIP298,INV00708,113,500,2022-01-01,2025-12-31,Active
SIP299,INV01376,126,500,2022-01-01,2025-12-31,Active
SIP300,INV04162,117,5000,2022-01-01,2025-12-31,Active
SIP301,INV02013,120,1000,2022-01-01,2025-12-31,Active
SIP302,INV02556,126,500,2022-01-01,2025-12-31,Active
SIP303,INV03791,134,1000,2022-01-01,2025-12-31,Active
SIP304,INV03527,124,10000,2022-01-01,2025-12-31,Active
SIP305,INV03408,111,500,2022-01-01,2025-12-31,Active
SIP306,INV03222,121,10000,2022-01-01,2025-12-31,Active
SIP307,INV04669,115,10000,2022-01-01,2025-12-31,Active
SIP308,INV03758,104,1000,2022-01-01,2025-12-31,Active
SIP309,INV01751,101,10000,2022-01-01,2025-12-31,Active
SIP310,INV04425,108,1000,2022-01-01,2025-12-31,Active
SIP311,INV04767,103,5000,2022-01-01,2025-12-31,Active
SIP312,INV02637,133,1000,2022-01-01,2025-12-31,Active
SIP313,INV04161,120,10000,2022-01-01,2025-12-31,Active
SIP314,INV04299,105,5000,2022-01-01,2025-12-31,Active
SIP315,INV00173,123,1000,2022-01-01,2025-12-31,Active
SIP316,INV02485,137,10000,2022-01-01,2025-12-31,Active
SIP317,INV03269,103,5000,2022-01-01,2025-12-31,Active
SIP318,INV03286,104,5000,2022-01-01,2025-12-31,Active
SIP319,INV02063,137,5000,2022-01-01,2025-12-31,Active
SIP320,INV04516,112,500,2022-01-01,2025-12-31,Active
SIP321,INV00830,130,500,2022-01-01,2025-12-31,Active
SIP322,INV03763,115,10000,2022-01-01,2025-12-31,Active
SIP323,INV01027,103,5000,2022-01-01,2025-12-31,Active
SIP324,INV03975,135,5000,2022-01-01,2025-12-31,Active
SIP325,INV03136,136,1000,2022-01-01,2025-12-31,Active
SIP326,INV03525,101,5000,2022-01-01,2025-12-31,Active
SIP327,INV03873,132,500,2022-01-01,2025-12-31,Active
SIP328,INV01511,118,500,2022-01-01,2025-12-31,Active
SIP329,INV04949,121,5000,2022-01-01,2025-12-31,Active
SIP330,INV01640,120,500,2022-01-01,2025-12-31,Active
SIP331,INV04340,129,10000,2022-01-01,2025-12-31,Active
SIP332,INV04077,133,500,2022-01-01,2025-12-31,Active
SIP333,INV04333,137,5000,2022-01-01,2025-12-31,Active
SIP334,INV04533,114,10000,2022-01-01,2025-12-31,Active
SIP335,INV01660,106,500,2022-01-01,2025-12-31,Active
SIP336,INV03892,114,500,2022-01-01,2025-12-31,Active
SIP337,INV04653,123,10000,2022-01-01,2025-12-31,Active
SIP338,INV03509,121,1000,2022-01-01,2025-12-31,Active
SIP339,INV01752,126,500,2022-01-01,2025-12-31,Active
SIP340,INV00091,138,500,2022-01-01,2025-12-31,Active
SIP341,INV01990,115,5000,2022-01-01,2025-12-31,Active
SIP342,INV03405,106,10000,2022-01-01,2025-12-31,Active
SIP343,INV03463,122,500,2022-01-01,2025-12-31,Active
SIP344,INV04359,136,1000,2022-01-01,2025-12-31,Active
SIP345,INV00529,108,1000,2022-01-01,2025-12-31,Active
SIP346,INV00392,131,10000,2022-01-01,2025-12-31,Active
SIP347,INV02640,127,10000,2022-01-01,2025-12-31,Active
SIP348,INV03960,109,500,2022-01-01,2025-12-31,Active
SIP349,INV01835,117,1000,2022-01-01,2025-12-31,Active
SIP350,INV02916,132,1000,2022-01-01,2025-12-31,Active
SIP351,INV04212,128,1000,2022-01-01,2025-12-31,Active
SIP352,INV04484,100,10000,2022-01-01,2025-12-31,Active
SIP353,INV00249,129,1000,2022-01-01,2025-12-31,Active
SIP354,INV01176,105,5000,2022-01-01,2025-12-31,Active
SIP355,INV02072,132,500,2022-01-01,2025-12-31,Active
SIP356,INV03137,126,10000,2022-01-01,2025-12-31,Active
SIP357,INV04517,128,5000,2022-01-01,2025-12-31,Active
SIP358,INV03031,105,5000,2022-01-01,2025-12-31,Active
SIP359,INV00033,104,5000,2022-01-01,2025-12-31,Active
SIP360,INV01575,120,1000,2022-01-01,2025-12-31,Active
SIP361,INV01759,136,5000,2022-01-01,2025-12-31,Active
SIP362,INV03420,118,10000,2022-01-01,2025-12-31,Active
SIP363,INV03923,102,500,2022-01-01,2025-12-31,Active
SIP364,INV02706,116,500,2022-01-01,2025-12-31,Active
SIP365,INV04165,121,500,2022-01-01,2025-12-31,Active
SIP366,INV00459,124,10000,2022-01-01,2025-12-31,Active
SIP367,INV02830,125,10000,2022-01-01,2025-12-31,Active
SIP368,INV01454,114,10000,2022-01-01,2025-12-31,Active
SIP369,INV00093,116,500,2022-01-01,2025-12-31,Active
SIP370,INV03808,126,5000,2022-01-01,2025-12-31,Active
SIP371,INV04130,101,5000,2022-01-01,2025-12-31,Active
SIP372,INV00782,134,500,2022-01-01,2025-12-31,Active
SIP373,INV02883,117,5000,2022-01-01,2025-12-31,Active
SIP374,INV03895,118,10000,2022-01-01,2025-12-31,Active
SIP375,INV00318,130,5000,2022-01-01,2025-12-31,Active
SIP376,INV04477,138,10000,2022-01-01,2025-12-31,Active
SIP377,INV04493,106,500,2022-01-01,2025-12-31,Active
SIP378,INV02229,110,500,2022-01-01,2025-12-31,Active
SIP379,INV01137,128,500,2022-01-01,2025-12-31,Active
SIP380,INV04863,121,500,2022-01-01,2025-12-31,Active
SIP381,INV04728,121,1000,2022-01-01,2025-12-31,Active
SIP382,INV00101,138,1000,2022-01-01,2025-12-31,Active
SIP383,INV04157,106,10000,2022-01-01,2025-12-31,Active
SIP384,INV04468,125,5000,2022-01-01,2025-12-31,Active
SIP385,INV00360,124,5000,2022-01-01,2025-12-31,Active
SIP386,INV01540,135,500,2022-01-01,2025-12-31,Active
SIP387,INV01993,120,500,2022-01-01,2025-12-31,Active
SIP388,INV02690,104,1000,2022-01-01,2025-12-31,Active
SIP389,INV00690,123,500,2022-01-01,2025-12-31,Active
SIP390,INV02669,139,1000,2022-01-01,2025-12-31,Active
SIP391,INV03599,139,1000,2022-01-01,2025-12-31,Active
SIP392,INV02488,128,10000,2022-01-01,2025-12-31,Active
SIP393,INV02300,102,5000,2022-01-01,2025-12-31,Active
SIP394,INV02101,112,5000,2022-01-01,2025-12-31,Active
SIP395,INV01014,134,1000,2022-01-01,2025-12-31,Active
SIP396,INV02908,132,500,2022-01-01,2025-12-31,Active
SIP397,INV02253,107,5000,2022-01-01,2025-12-31,Active
SIP398,INV03626,126,500,2022-01-01,2025-12-31,Active
SIP399,INV00776,128,1000,2022-01-01,2025-12-31,Active
SIP400,INV03039,109,1000,2022-01-01,2025-12-31,Active
SIP401,INV03080,117,1000,2022-01-01,2025-12-31,Active
SIP402,INV03913,139,500,2022-01-01,2025-12-31,Active
SIP403,INV03628,139,10000,2022-01-01,2025-12-31,Active
SIP404,INV01153,128,1000,2022-01-01,2025-12-31,Active
SIP405,INV04428,132,500,2022-01-01,2025-12-31,Active
SIP406,INV02148,133,500,2022-01-01,2025-12-31,Active
SIP407,INV01185,116,5000,2022-01-01,2025-12-31,Active
SIP408,INV03992,128,5000,2022-01-01,2025-12-31,Active
SIP409,INV00159,115,10000,2022-01-01,2025-12-31,Active
SIP410,INV01040,131,5000,2022-01-01,2025-12-31,Active
SIP411,INV04585,139,5000,2022-01-01,2025-12-31,Active
SIP412,INV03194,105,1000,2022-01-01,2025-12-31,Active
SIP413,INV01984,106,1000,2022-01-01,2025-12-31,Active
SIP414,INV02221,130,1000,2022-01-01,2025-12-31,Active
SIP415,INV03550,134,10000,2022-01-01,2025-12-31,Active
SIP416,INV04695,131,500,2022-01-01,2025-12-31,Active
SIP417,INV01387,119,1000,2022-01-01,2025-12-31,Active
SIP418,INV03866,125,10000,2022-01-01,2025-12-31,Active
SIP419,INV01930,132,5000,2022-01-01,2025-12-31,Active
SIP420,INV00146,123,1000,2022-01-01,2025-12-31,Active
SIP421,INV03606,121,1000,2022-01-01,2025-12-31,Active
SIP422,INV00705,130,5000,2022-01-01,2025-12-31,Active
SIP423,INV00687,138,5000,2022-01-01,2025-12-31,Active
SIP424,INV02642,116,500,2022-01-01,2025-12-31,Active
SIP425,INV02576,107,1000,2022-01-01,2025-12-31,Active
SIP426,INV01244,117,1000,2022-01-01,2025-12-31,Active
SIP427,INV01167,117,5000,2022-01-01,2025-12-31,Active
SIP428,INV01394,126,500,2022-01-01,2025-12-31,Active
SIP429,INV02186,123,500,2022-01-01,2025-12-31,Active
SIP430,INV01240,122,1000,2022-01-01,2025-12-31,Active
SIP431,INV04958,121,5000,2022-01-01,2025-12-31,Active
SIP432,INV02333,120,1000,2022-01-01,2025-12-31,Active
SIP433,INV01581,137,1000,2022-01-01,2025-12-31,Active
SIP434,INV01142,137,5000,2022-01-01,2025-12-31,Active
SIP435,INV00889,131,1000,2022-01-01,2025-12-31,Active
SIP436,INV01361,107,1000,2022-01-01,2025-12-31,Active
SIP437,INV04487,106,500,2022-01-01,2025-12-31,Active
SIP438,INV03744,114,10000,2022-01-01,2025-12-31,Active
