transaction_id,investor_id,amfi_code,transaction_date,transaction_type,amount,units,nav_at_transaction,state,kyc_status
TXN000061,INV00316,118846,2021-06-04,Switch,465834.5,15068.584,210.6819,West Bengal,KYC_VERIFIED
TXN000062,INV00409,118842,2020-09-05,Lumpsum,447121.17,10398.468,159.33,Tamil Nadu,KYC_VERIFIED
TXN000063,INV00062,118840,2021-05-18,Redemption,9215.99,259.72,257.1015,West Bengal,NOT_KYC
TXN000064,INV00001,118834,2021-10-09,Switch,66145.94,712.737,31.2157,Maharashtra,KYC_VERIFIED
TXN000065,INV00198,120841,2020-04-22,Dividend,157538.96,962.667,203.6169,Rajasthan,KYC_REJECTED
TXN000066,INV00352,118841,2022-08-01,Lumpsum,438693.6,3097.708,132.5129,Maharashtra,KYC_REJECTED
TXN000067,INV00392,120503,2020-08-11,Redemption,22543.6,151.077,256.3779,Delhi,KYC_REJECTED
TXN000068,INV00286,120841,2022-09-21,SIP,415613.48,3703.892,70.066,Gujarat,NOT_KYC
TXN000069,INV00059,119092,2022-03-01,Redemption,469166.21,2422.025,147.2083,West Bengal,KYC_VERIFIED
TXN000070,INV00477,118843,2024-07-31,SIP,342683.23,1724.868,192.036,Rajasthan,KYC_VERIFIED
TXN000071,INV00195,118839,2024-04-02,Switch,278623.77,6411.265,19.9397,UP,KYC_PENDING
TXN000072,INV00284,118842,2020-11-16,SIP,412148.94,2988.457,283.6555,Gujarat,NOT_KYC
TXN000073,INV00216,120841,2023-07-18,Lumpsum,96981.14,7253.043,159.5719,Maharashtra,KYC_REJECTED
TXN000074,INV00488,118834,2020-04-11,Dividend,384438.94,2489.17,179.3566,West Bengal,KYC_VERIFIED
TXN000075,INV00105,118835,2021-12-10,Redemption,488482.77,5001.072,33.0349,Rajasthan,NOT_KYC
TXN000076,INV00270,118835,2023-03-01,Dividend,18141.64,123.068,140.3377,Karnataka,KYC_REJECTED
TXN000077,INV00218,118837,2024-04-11,Lumpsum,245966.02,3181.084,23.1758,West Bengal,NOT_KYC
TXN000078,INV00258,118825,2021-09-13,SIP,124847.43,678.298,200.1881,Delhi,KYC_REJECTED
TXN000079,INV00271,120841,2020-02-03,Redemption,360019.7,3938.118,229.9423,Delhi,KYC_PENDING
TXN000080,INV00010,118842,2023-12-11,Lumpsum,238670.41,8261.317,153.5874,UP,KYC_VERIFIED
TXN000081,INV00191,118845,2024-05-22,Lumpsum,80863.69,709.168,205.2563,Maharashtra,KYC_VERIFIED
TXN000082,INV00192,120841,2021-06-21,Lumpsum,332560.78,4492.068,16.8948,Maharashtra,KYC_VERIFIED
TXN000083,INV00382,118836,2023-04-23,SIP,496279.89,3635.656,179.9833,Delhi,KYC_REJECTED
TXN000084,INV00262,118842,2022-04-02,Switch,315733.15,8851.534,119.4769,Rajasthan,KYC_PENDING
TXN000085,INV00128,119551,2021-02-18,Dividend,399267.83,7714.693,204.6626,Maharashtra,KYC_VERIFIED
TXN000086,INV00315,118845,2020-06-11,Lumpsum,145879.32,1144.083,75.5474,Maharashtra,NOT_KYC
TXN000087,INV00493,118835,2020-08-05,Redemption,219122.61,3144.813,88.7263,Rajasthan,KYC_PENDING
TXN000088,INV00052,118843,2023-06-22,Dividend,248517.12,1987.013,119.5017,Tamil Nadu,KYC_VERIFIED
TXN000089,INV00029,120841,2022-07-15,SIP,389105.56,9369.855,82.4454,Tamil Nadu,KYC_PENDING
TXN000090,INV00232,118836,2020-03-20,SIP,186454.02,4139.199,32.8556,West Bengal,KYC_REJECTED
TXN000091,INV00473,118845,2024-02-17,Dividend,22218.21,129.432,58.1405,Maharashtra,KYC_VERIFIED
TXN000092,INV00278,118632,2022-04-25,SIP,201572.2,1175.608,73.0779,Tamil Nadu,NOT_KYC
TXN000093,INV00326,118843,2023-02-07,SIP,147309.49,1218.404,120.669,Delhi,NOT_KYC
TXN000094,INV00166,118632,2021-10-30,Dividend,70697.27,431.187,258.0977,Gujarat,KYC_VERIFIED
TXN000095,INV00133,118836,2020-11-14,Dividend,7899.18,206.012,165.6404,Rajasthan,KYC_PENDING
TXN000096,INV00040,118632,2021-05-15,Lumpsum,434219.02,5446.232,75.6455,Karnataka,KYC_VERIFIED
TXN000097,INV00195,118844,2020-03-05,SIP,347877.34,1882.285,238.516,Delhi,KYC_REJECTED
TXN000099,INV00162,118845,2024-07-05,Redemption,399897.57,2085.858,206.197,Tamil Nadu,KYC_VERIFIED
TXN000100,INV00109,118842,2022-04-18,Lumpsum,280319.35,12716.239,23.1273,Gujarat,KYC_VERIFIED
TXN000101,INV00054,118835,2020-07-09,SIP,99403.07,525.012,299.8319,Karnataka,KYC_VERIFIED
TXN000102,INV00119,119551,2021-12-01,Lumpsum,460854.1,6600.23,43.5948,Maharashtra,KYC_VERIFIED
TXN000103,INV00001,118836,2022-07-11,Lumpsum,19756.92,123.055,243.9349,Rajasthan,NOT_KYC
TXN000104,INV00270,119092,2021-08-29,Lumpsum,330460.78,14274.947,67.4004,Gujarat,KYC_VERIFIED
TXN000105,INV00392,118839,2021-07-10,Lumpsum,157693.89,1626.252,201.8038,UP,KYC_REJECTED
TXN000106,INV00014,118835,2024-06-07,Lumpsum,27799.0,547.106,298.0069,UP,KYC_VERIFIED
TXN000107,INV00497,118835,2023-06-20,Dividend,313880.11,3288.158,185.2379,Delhi,KYC_PENDING
TXN000108,INV00497,118846,2020-08-06,Lumpsum,354155.46,13164.309,246.5879,Rajasthan,KYC_VERIFIED
TXN000110,INV00204,118844,2020-04-03,Lumpsum,174167.63,6537.35,252.5896,Karnataka,KYC_VERIFIED
TXN000111,INV00209,118844,2023-05-19,SIP,203320.17,4900.31,75.4992,Maharashtra,NOT_KYC
TXN000112,INV00487,118836,2020-02-13,Dividend,31185.7,362.62,183.8397,Rajasthan,KYC_REJECTED
TXN000113,INV00036,118843,2023-04-25,Switch,136176.13,11069.215,198.3931,Rajasthan,KYC_VERIFIED
TXN000114,INV00240,119551,2020-04-19,SIP,460715.91,3007.995,138.9096,Delhi,NOT_KYC
TXN000115,INV00415,118837,2023-03-21,Lumpsum,453772.84,2749.873,280.9273,UP,KYC_REJECTED
TXN000116,INV00055,119092,2020-08-14,Redemption,465822.89,2770.974,297.8831,Gujarat,KYC_REJECTED
TXN000117,INV00151,119551,2020-12-14,SIP,460995.86,2432.51,244.9446,West Bengal,KYC_REJECTED
TXN000118,INV00341,118840,2022-07-05,Dividend,140018.37,2071.975,173.7469,Rajasthan,KYC_VERIFIED
TXN000119,INV00246,118838,2020-11-27,SIP,114791.49,693.507,220.7989,West Bengal,KYC_PENDING
TXN000120,INV00317,119551,2024-11-29,Lumpsum,468431.84,5637.095,127.2234,West Bengal,KYC_PENDING
TXN000121,INV00245,118839,2024-01-09,Switch,56278.25,1028.514,298.3904,Delhi,KYC_REJECTED
TXN000122,INV00140,118836,2024-04-12,Dividend,214072.17,2056.233,219.6046,Delhi,KYC_REJECTED
TXN000123,INV00497,118838,2024-09-28,Lumpsum,263263.04,1559.959,54.4958,UP,NOT_KYC
TXN000124,INV00041,118844,2022-07-17,Lumpsum,332058.82,5359.148,68.2199,Karnataka,NOT_KYC
TXN000125,INV00004,118846,2022-03-10,Redemption,220439.05,2785.814,195.9143,UP,KYC_PENDING
TXN000126,INV00368,118837,2022-08-05,SIP,303958.71,3625.876,108.3103,Rajasthan,KYC_REJECTED
TXN000127,INV00385,118844,2023-06-08,Lumpsum,94395.03,1114.496,126.1868,UP,KYC_VERIFIED
TXN000128,INV00168,119092,2021-08-29,Redemption,331479.52,3239.017,255.617,Delhi,KYC_REJECTED
TXN000129,INV00431,118834,2021-05-28,SIP,330875.29,2241.448,295.8137,Rajasthan,KYC_REJECTED
TXN000130,INV00437,120841,2022-01-11,SIP,161416.03,2224.564,190.13,Tamil Nadu,NOT_KYC
TXN000131,INV00491,120503,2020-01-15,SIP,24431.27,178.627,227.4553,Karnataka,KYC_VERIFIED
TXN000132,INV00236,118840,2020-05-31,Lumpsum,207931.44,1780.98,238.4566,Karnataka,KYC_PENDING
TXN000133,INV00379,118632,2024-10-17,Dividend,115878.54,1080.162,199.9931,Delhi,KYC_REJECTED
TXN000134,INV00320,118836,2023-09-25,SIP,485771.0,3130.154,209.1136,Rajasthan,NOT_KYC
TXN000135,INV00032,120841,2021-02-06,Lumpsum,337089.97,2471.171,163.4753,UP,NOT_KYC
TXN000136,INV00481,118834,2023-07-10,Redemption,495932.05,2553.834,220.1454,Karnataka,KYC_REJECTED
TXN000137,INV00272,120841,2020-09-15,Dividend,493919.0,13765.7,50.5156,Rajasthan,KYC_PENDING
TXN000138,INV00148,118632,2022-12-13,SIP,363753.9,3589.741,28.3078,Delhi,KYC_VERIFIED
TXN000139,INV00354,120841,2021-01-23,Redemption,207023.27,1650.447,132.8326,Delhi,KYC_VERIFIED
TXN000140,INV00223,118846,2023-04-25,Lumpsum,33525.75,2610.917,80.7073,Delhi,KYC_REJECTED
TXN000141,INV00092,118632,2023-12-31,Redemption,285996.8,7817.692,270.9128,Tamil Nadu,NOT_KYC
TXN000142,INV00124,118841,2020-07-27,Switch,87815.04,726.928,185.4539,West Bengal,KYC_PENDING
TXN000143,INV00390,125497,2021-10-03,Lumpsum,92912.04,1573.547,208.3003,Gujarat,KYC_PENDING
TXN000144,INV00260,118840,2024-04-19,SIP,351885.6,2002.757,266.3002,Karnataka,KYC_VERIFIED
TXN000145,INV00310,118834,2021-03-28,Dividend,23642.92,1612.845,172.9593,UP,KYC_VERIFIED
TXN000146,INV00338,118837,2021-10-11,SIP,351389.02,2245.65,273.8554,Tamil Nadu,NOT_KYC
TXN000147,INV00473,118843,2022-09-07,Redemption,464571.11,3882.615,209.5477,Maharashtra,KYC_VERIFIED
TXN000148,INV00092,118839,2021-04-27,Redemption,234247.06,2752.569,16.5213,Tamil Nadu,KYC_PENDING
TXN000149,INV00004,118837,2022-11-07,Lumpsum,148829.88,1160.26,109.9632,UP,NOT_KYC
TXN000150,INV00293,118834,2024-01-17,Lumpsum,227958.77,1833.757,114.1109,UP,KYC_REJECTED
TXN000151,INV00330,118837,2024-04-12,Lumpsum,173455.23,2968.974,140.9173,Karnataka,KYC_VERIFIED
TXN000152,INV00494,118632,2022-09-08,Switch,337868.54,27577.961,216.0404,Rajasthan,KYC_PENDING
TXN000153,INV00221,118838,2022-03-15,SIP,478941.96,16154.322,115.7827,Gujarat,KYC_PENDING
TXN000155,INV00072,125497,2023-07-10,Dividend,126746.69,1285.409,288.8491,Tamil Nadu,KYC_VERIFIED
TXN000156,INV00269,120503,2024-12-23,Lumpsum,236115.75,9147.284,194.6362,Delhi,NOT_KYC
TXN000157,INV00077,118838,2024-04-10,Lumpsum,459867.6,43766.981,48.783,Karnataka,KYC_REJECTED
TXN000158,INV00279,118841,2024-09-26,Switch,11741.65,201.944,205.2912,Rajasthan,KYC_PENDING
TXN000159,INV00108,118842,2023-06-09,Redemption,349244.44,4851.496,55.5329,West Bengal,KYC_VERIFIED
TXN000161,INV00066,118836,2023-11-11,Lumpsum,269114.2,2939.143,60.1463,Maharashtra,KYC_VERIFIED
TXN000162,INV00067,118825,2022-05-06,Lumpsum,5862.31,82.306,54.5268,Delhi,KYC_VERIFIED
TXN000163,INV00420,118825,2023-10-03,Lumpsum,136222.42,2866.431,142.5,Delhi,KYC_REJECTED
TXN000164,INV00490,119092,2022-06-09,Dividend,383876.27,24410.58,185.782,Rajasthan,NOT_KYC
TXN000165,INV00219,118834,2020-09-10,Redemption,211302.42,1251.286,146.6612,Gujarat,KYC_VERIFIED
TXN000166,INV00143,118834,2021-02-26,Lumpsum,429134.96,19319.311,15.4694,Karnataka,NOT_KYC
TXN000168,INV00251,119551,2020-07-23,Redemption,164934.32,2466.437,178.231,Rajasthan,KYC_PENDING
TXN000169,INV00061,118843,2020-01-08,Redemption,293381.09,26303.887,247.2537,Rajasthan,KYC_REJECTED
TXN000170,INV00396,118845,2023-12-15,Lumpsum,208143.32,6267.09,252.5726,West Bengal,KYC_VERIFIED
TXN000171,INV00339,125497,2023-11-30,Dividend,122648.85,653.308,104.0694,Delhi,NOT_KYC
TXN000172,INV00139,118841,2023-07-26,SIP,152428.25,796.457,256.7417,Gujarat,NOT_KYC
TXN000173,INV00347,118839,2020-12-23,Lumpsum,469240.55,3808.624,23.5496,Karnataka,KYC_VERIFIED
TXN000174,INV00164,119092,2021-11-06,Dividend,388258.6,2767.219,252.099,UP,NOT_KYC
TXN000175,INV00114,118844,2023-02-04,SIP,269382.3,1368.791,90.1445,Maharashtra,KYC_PENDING
TXN000176,INV00463,119551,2021-06-05,Dividend,454283.74,2534.078,157.1747,UP,KYC_VERIFIED
TXN000177,INV00432,118844,2022-06-03,Lumpsum,34169.78,204.493,48.0614,Delhi,KYC_VERIFIED
TXN000178,INV00187,118837,2023-11-18,Lumpsum,384199.55,20670.16,223.5711,West Bengal,KYC_REJECTED
TXN000179,INV00311,118840,2022-06-26,SIP,160927.0,5306.708,64.6264,UP,KYC_REJECTED
TXN000180,INV00170,118844,2021-04-02,Switch,9651.56,109.405,51.4108,Gujarat,KYC_VERIFIED
TXN000182,INV00060,118838,2023-09-12,Lumpsum,464219.07,9617.267,215.7028,Rajasthan,KYC_VERIFIED
TXN000183,INV00349,119551,2022-11-18,SIP,98280.89,2833.781,157.2003,Delhi,KYC_VERIFIED
TXN000184,INV00060,118842,2021-07-29,Lumpsum,195512.73,1313.936,175.951,UP,KYC_REJECTED
TXN000185,INV00476,118846,2020-09-16,Redemption,233537.88,1642.008,281.162,Delhi,KYC_PENDING
TXN000186,INV00266,118843,2023-10-18,Redemption,243132.13,1368.388,52.2048,West Bengal,KYC_REJECTED
TXN000187,INV00280,118846,2022-11-14,Lumpsum,198583.73,1261.417,291.0548,UP,NOT_KYC
TXN000188,INV00005,118834,2020-04-14,SIP,356026.25,3583.55,153.968,Gujarat,KYC_REJECTED
TXN000189,INV00335,118845,2023-06-06,Lumpsum,424901.78,2679.95,100.6636,Gujarat,KYC_VERIFIED
TXN000190,INV00207,118835,2020-08-13,Lumpsum,425074.51,2809.012,49.2769,West Bengal,KYC_VERIFIED
TXN000191,INV00291,118834,2021-09-01,SIP,384411.82,2726.709,18.9878,Gujarat,KYC_PENDING
TXN000192,INV00472,118837,2023-04-02,Dividend,326303.58,4495.526,191.7357,Maharashtra,NOT_KYC
TXN000193,INV00187,118846,2023-12-12,Dividend,391516.61,2270.139,140.6274,Delhi,NOT_KYC
TXN000194,INV00037,118837,2022-05-03,Redemption,333163.58,3311.082,99.7347,Delhi,KYC_VERIFIED
TXN000195,INV00030,120503,2022-09-28,Switch,420583.64,3140.807,38.3799,UP,NOT_KYC
TXN000196,INV00441,118839,2020-07-11,Lumpsum,440140.63,6278.972,17.4068,Maharashtra,NOT_KYC
TXN000197,INV00077,118843,2022-12-30,Lumpsum,109347.05,2302.017,216.3638,West Bengal,KYC_VERIFIED
TXN000198,INV00301,119551,2021-04-28,Redemption,452142.9,13037.491,170.7544,Maharashtra,KYC_PENDING
TXN000199,INV00477,118834,2020-06-27,Redemption,382607.16,5476.645,56.0004,Delhi,KYC_VERIFIED
TXN000200,INV00080,118837,2024-07-14,Lumpsum,59881.13,487.216,25.5527,Tamil Nadu,KYC_PENDING
TXN000201,INV00218,118834,2021-07-02,Redemption,241294.67,1352.672,179.6964,West Bengal,KYC_VERIFIED
TXN000202,INV00022,118838,2021-12-06,Lumpsum,347582.92,20467.615,129.2112,UP,KYC_VERIFIED
TXN000203,INV00480,118632,2021-02-02,Redemption,209339.28,1787.939,241.803,Rajasthan,KYC_VERIFIED
TXN000204,INV00340,125497,2020-08-08,SIP,275730.65,1438.008,52.7677,Maharashtra,NOT_KYC
TXN000205,INV00464,118837,2020-03-01,Lumpsum,219080.93,5205.877,53.3339,Delhi,KYC_VERIFIED
TXN000206,INV00356,118838,2022-03-01,Redemption,148371.79,2594.677,11.2676,Gujarat,KYC_VERIFIED
TXN000207,INV00171,118838,2021-10-25,SIP,405733.62,11949.806,128.2881,West Bengal,NOT_KYC
TXN000208,INV00311,119551,2022-10-20,Lumpsum,249460.3,1345.836,72.7524,Tamil Nadu,NOT_KYC
TXN000209,INV00308,118840,2024-10-22,SIP,493088.9,8226.092,248.8094,Maharashtra,KYC_VERIFIED
TXN000210,INV00205,118843,2020-12-30,Redemption,347293.32,2363.089,295.0848,Tamil Nadu,NOT_KYC
TXN000211,INV00077,118845,2020-02-05,SIP,92278.98,787.334,118.6122,West Bengal,KYC_VERIFIED
TXN000212,INV00222,118839,2020-08-01,Switch,229226.82,15793.685,219.1776,West Bengal,KYC_VERIFIED
TXN000213,INV00107,125497,2020-03-20,Lumpsum,28380.56,412.662,19.6177,Rajasthan,KYC_REJECTED
TXN000214,INV00373,118842,2020-12-01,SIP,456226.06,3976.371,66.1548,Delhi,KYC_PENDING
TXN000215,INV00380,118845,2024-02-13,Lumpsum,317778.95,2652.172,119.5981,Tamil Nadu,KYC_VERIFIED
TXN000217,INV00238,120841,2024-12-16,Switch,73086.15,480.092,62.731,Maharashtra,KYC_VERIFIED
TXN000218,INV00278,118836,2023-06-24,Dividend,280050.07,1565.083,238.8929,Tamil Nadu,KYC_VERIFIED
TXN000219,INV00266,118839,2021-01-31,SIP,75787.58,393.912,294.4467,Tamil Nadu,NOT_KYC
TXN000220,INV00213,118845,2023-02-07,Redemption,26981.45,339.482,178.0811,Tamil Nadu,KYC_VERIFIED
TXN000221,INV00420,118842,2022-04-16,SIP,7063.9,53.16,266.9738,Gujarat,NOT_KYC
TXN000222,INV00176,120841,2023-11-23,Lumpsum,313999.78,3987.827,73.0805,UP,KYC_VERIFIED
TXN000223,INV00008,118842,2022-10-10,Switch,273953.76,25639.891,212.0946,Gujarat,NOT_KYC
TXN000224,INV00028,118837,2022-09-07,Redemption,234317.31,8869.603,272.4157,UP,KYC_PENDING
TXN000225,INV00408,118844,2021-09-19,Lumpsum,77954.07,725.806,296.7821,Rajasthan,KYC_VERIFIED
TXN000227,INV00264,118837,2022-03-03,SIP,364453.58,2263.255,31.5385,Rajasthan,NOT_KYC
TXN000228,INV00189,118836,2022-08-24,SIP,484722.35,12951.627,178.9637,Delhi,KYC_VERIFIED
TXN000229,INV00286,125497,2024-04-07,Redemption,380995.13,6894.31,118.1934,Gujarat,KYC_VERIFIED
TXN000230,INV00044,118839,2024-06-09,Dividend,9493.87,68.118,171.2877,UP,KYC_VERIFIED
TXN000231,INV00371,119092,2022-08-23,Redemption,1086.75,10.621,270.5395,West Bengal,KYC_PENDING
TXN000232,INV00486,120503,2022-09-09,SIP,233935.97,2350.025,92.7173,Gujarat,KYC_PENDING
TXN000233,INV00375,118834,2022-05-19,Switch,487533.43,3949.254,141.3734,Tamil Nadu,KYC_VERIFIED
TXN000234,INV00035,118840,2020-06-19,SIP,335010.6,20123.569,250.3164,Maharashtra,KYC_VERIFIED
TXN000235,INV00378,118842,2020-04-14,Redemption,407713.4,26587.74,61.2171,West Bengal,KYC_VERIFIED
TXN000236,INV00084,120841,2021-12-13,Lumpsum,332729.32,2316.531,189.1543,Maharashtra,KYC_VERIFIED
TXN000237,INV00241,119551,2023-10-13,Redemption,86488.23,475.605,239.2612,UP,KYC_VERIFIED
TXN000238,INV00480,118841,2023-10-13,Redemption,346562.97,2633.443,261.7653,Rajasthan,KYC_VERIFIED
TXN000239,INV00159,118846,2024-11-10,Lumpsum,374361.32,2228.751,58.4295,Tamil Nadu,NOT_KYC
TXN000240,INV00085,118846,2024-04-12,SIP,371126.93,5849.74,127.2944,Karnataka,KYC_VERIFIED
TXN000241,INV00403,118825,2022-06-21,Redemption,146214.5,5287.287,270.4407,Delhi,KYC_PENDING
TXN000242,INV00445,118841,2024-05-18,Switch,491657.86,3073.077,240.9042,Rajasthan,KYC_REJECTED
TXN000243,INV00347,118846,2022-07-05,Redemption,189970.59,1219.689,11.3916,West Bengal,KYC_VERIFIED
TXN000244,INV00155,118842,2024-04-19,SIP,44657.6,275.684,161.0798,Rajasthan,KYC_REJECTED
TXN000245,INV00018,118843,2020-06-10,Dividend,137878.71,6540.955,287.2407,West Bengal,KYC_REJECTED
TXN000246,INV00183,118839,2020-12-16,Switch,141979.11,2425.192,105.9033,Rajasthan,KYC_PENDING
TXN000247,INV00075,125497,2021-06-13,Switch,187255.74,1248.695,41.6913,Karnataka,KYC_VERIFIED
TXN000248,INV00442,120503,2023-12-06,SIP,259280.05,1344.741,82.5827,Rajasthan,KYC_REJECTED
TXN000249,INV00306,118846,2023-02-08,Lumpsum,334321.86,2019.874,32.1485,West Bengal,KYC_REJECTED
TXN000250,INV00420,118840,2020-08-29,Switch,250290.01,1697.912,67.5823,Gujarat,KYC_REJECTED
TXN000251,INV00076,119551,2024-12-02,Redemption,379800.11,6299.296,110.388,UP,KYC_PENDING
TXN000252,INV00424,119551,2021-11-16,Lumpsum,425855.32,2560.753,159.9421,UP,KYC_REJECTED
TXN000253,INV00438,119092,2024-01-10,Lumpsum,305073.93,3069.424,208.0958,Gujarat,NOT_KYC
TXN000254,INV00127,118836,2022-03-02,Switch,2957.47,15.396,149.7159,Gujarat,NOT_KYC
